Checkpoint,Sparsity,Acc_mean,Acc_std,F1_mean,F1_std
pretrain_link1,0.0,0.56465099028262,0.021857130287871878,0.39634772861231526,0.030435712714523618
pretrain_link1,10.0,0.5717498701876715,0.02328657064439404,0.40424846591564007,0.02776354975483189
pretrain_link1,20.0,0.5688643275721386,0.01795348463752956,0.4074315396108032,0.024205921170632992
pretrain_link1,30.0,0.5667190861212077,0.023646312390216785,0.40168631956747936,0.03184709328781441
pretrain_link1,40.0,0.5790757362213486,0.01628947295722723,0.419509019579077,0.014687960788376546
pretrain_link1,50.0,0.5665840812996068,0.02166400142515715,0.39967017737481775,0.03527573813832519
pretrain_link1,60.0,0.555782212002077,0.03394464453269051,0.3954344495554635,0.029198614759895516
pretrain_link1,70.0,0.5560225502559157,0.0464010263302193,0.3907580347944494,0.04983504983443546
pretrain_link1,80.0,0.5647652251316668,0.020330320291219266,0.3920245542092182,0.0243474800968232
pretrain_link1,90.0,0.588128477115941,0.059663319611174395,0.45030775109673193,0.047915213950802074
