Camada,BI Medio (Cosseno),BI Std (Cosseno),BI Medio (Angular),BI Std (Angular),Angulo Medio (Graus),Ranking Cosseno,Ranking Angular,Rankings Identicos
6,0.005545397259993479,0.002108553890093103,0.03292350680567324,0.0062251661964123255,5.9262312250211835,1,1,True
5,0.00793490931391716,0.004841685817326186,0.038386537693440914,0.010950607607471024,6.9095767848193645,2,2,True
7,0.019596382859162986,0.011970556247469566,0.061043813824653625,0.01720822377584851,10.987886488437653,3,3,True
4,0.02218007482588291,0.015078559452242592,0.063523112796247,0.0223607702592575,11.434160303324461,4,4,True
1,0.07713684346526861,0.02434578256038987,0.12416313588619232,0.0205639833592082,22.349364459514618,5,5,True
0,0.07818039041012526,0.025788757792756665,0.12493896204978228,0.02039710770542821,22.48901316896081,6,6,True
3,0.09549339348450303,0.05620487787321902,0.13520673476159573,0.03908282003477539,24.33721225708723,7,7,True
2,0.1530519463121891,0.06561580818419036,0.17447897605597973,0.04045274593964548,31.40621569007635,8,8,True
