Layer,BI Medio (Angular),BI Std (Angular),BI Minimo (Angular),BI Maximo (Angular)
6,0.03973859059624374,0.00773270205712102,0.028599675744771957,0.05164294317364693
5,0.04136670962907374,0.015329125298812151,0.030629588291049004,0.07793468236923218
4,0.0661403969861567,0.021760255416692072,0.041892848908901215,0.10991020500659943
7,0.07603139989078045,0.01782784934411998,0.045442983508110046,0.10985612869262695
1,0.1360426777973771,0.02539512936015389,0.10705054551362991,0.185551255941391
3,0.13633128628134727,0.02842723326726104,0.09950729459524155,0.18090641498565674
0,0.14471583906561136,0.029820353600842096,0.11512383818626404,0.18824613094329834
2,0.1802924806252122,0.0317633788260167,0.11688198894262314,0.2304040938615799
