Layer,BI Medio (Angular),BI Std (Angular),BI Minimo (Angular),BI Maximo (Angular)
6,0.0393460663035512,0.007397214672792722,0.028300395235419273,0.04941071569919586
5,0.04046326479874551,0.01391511513580265,0.03058604709804058,0.07361440360546112
4,0.06492370646446943,0.020683456075904348,0.041147779673337936,0.10479443520307541
7,0.07609383203089237,0.01782176010914737,0.04546289145946503,0.10988110303878784
3,0.1338838916271925,0.031179076333699283,0.09491089731454849,0.182647705078125
1,0.13790881354361773,0.026896753130993614,0.10264910012483597,0.18850745260715485
0,0.14764227345585823,0.03369393203880837,0.11181971430778503,0.19656161963939667
2,0.18006321508437395,0.03419180173425547,0.11136583238840103,0.23217488825321198
