Layer,BI Medio (Angular),BI Std (Angular),BI Minimo (Angular),BI Maximo (Angular)
6,0.033319651847705245,0.005908967627398505,0.02565288543701172,0.042116742581129074
5,0.038564468966796994,0.010347441852914743,0.028132116422057152,0.05946142598986626
7,0.06103931274265051,0.017408444482360726,0.043218858540058136,0.09829219430685043
4,0.06265425868332386,0.021543596342290233,0.040850210934877396,0.09034614264965057
0,0.12284394539892673,0.018700551724951074,0.09777294844388962,0.15298040211200714
1,0.1232264032587409,0.022289823776342216,0.08993900567293167,0.15914835035800934
3,0.13246036879718304,0.04083603859126949,0.08660075813531876,0.21296674013137817
2,0.17189204134047031,0.04044989840532634,0.10912624001502991,0.23091533780097961
