Expert,Layer,Block Influence (Angular)
0,0,0.12063422799110413
0,1,0.10705054551362991
0,2,0.11688198894262314
0,3,0.1271991729736328
0,4,0.058186840265989304
0,5,0.035447124391794205
0,6,0.030928751453757286
0,7,0.07543248683214188
1,0,0.12590400874614716
1,1,0.185551255941391
1,2,0.1856645941734314
1,3,0.14916791021823883
1,4,0.10991020500659943
1,5,0.07793468236923218
1,6,0.05164294317364693
1,7,0.045442983508110046
2,0,0.18824613094329834
2,1,0.12032382935285568
2,2,0.19204489886760712
2,3,0.09950729459524155
2,4,0.041892848908901215
2,5,0.030629588291049004
2,6,0.038110602647066116
2,7,0.07344429194927216
3,0,0.12132438272237778
3,1,0.11818375438451767
3,2,0.17070475220680237
3,3,0.15709884464740753
3,4,0.066319540143013
3,5,0.033616408705711365
3,6,0.042652677744627
3,7,0.07638483494520187
4,0,0.1580120027065277
4,1,0.15453465282917023
4,2,0.1913989633321762
4,3,0.18090641498565674
4,4,0.08585888892412186
4,5,0.03852033615112305
4,6,0.039299871772527695
4,7,0.07255017757415771
5,0,0.11512383818626404
5,1,0.1484282910823822
5,2,0.2304040938615799
5,3,0.15251067280769348
5,4,0.05972328037023544
5,5,0.04237019270658493
5,6,0.04769182205200195
5,7,0.10985612869262695
6,0,0.18697842955589294
6,1,0.12598223984241486
6,2,0.1694415658712387
6,3,0.1221589669585228
6,4,0.054994210600852966
6,5,0.03202895447611809
6,6,0.028599675744771957
6,7,0.06979098170995712
7,0,0.1415036916732788
7,1,0.12828685343265533
7,2,0.1857989877462387
7,3,0.10210101306438446
7,4,0.052237361669540405
7,5,0.0403863899409771
7,6,0.03898238018155098
7,7,0.08534931391477585
