Camada,Modelo 1 (Link1) [Angular],Modelo 2 (Link2) [Angular],Diferenca Absoluta [Angular]
0,0.12284394539892673,0.14764227345585823,0.024798328056931496
1,0.1232264032587409,0.13790881354361773,0.014682410284876823
2,0.17189204134047031,0.18006321508437395,0.008171173743903637
3,0.13246036879718304,0.1338838916271925,0.0014235228300094604
4,0.06265425868332386,0.06492370646446943,0.0022694477811455727
5,0.038564468966796994,0.04046326479874551,0.0018987958319485188
6,0.033319651847705245,0.0393460663035512,0.006026414455845952
7,0.06103931274265051,0.07609383203089237,0.015054519288241863
