Camada,Modelo 1 (Link1) [Angular],Modelo 2 (Link2) [Angular],Diferenca Absoluta [Angular]
0,0.12493896204978228,0.14471583906561136,0.019776877015829086
1,0.12416313588619232,0.1360426777973771,0.011879541911184788
2,0.17447897605597973,0.1802924806252122,0.005813504569232464
3,0.13520673476159573,0.13633128628134727,0.0011245515197515488
4,0.063523112796247,0.0661403969861567,0.0026172841899096966
5,0.038386537693440914,0.04136670962907374,0.002980171935632825
6,0.03292350680567324,0.03973859059624374,0.0068150837905704975
7,0.061043813824653625,0.07603139989078045,0.014987586066126823
