Expert,Layer,Block Influence (Angular)
0,0,0.12261545658111572
0,1,0.10264910012483597
0,2,0.11136583238840103
0,3,0.12094730883836746
0,4,0.058343298733234406
0,5,0.035686783492565155
0,6,0.03042546845972538
0,7,0.07630368322134018
1,0,0.12475396692752838
1,1,0.18850745260715485
1,2,0.19127121567726135
1,3,0.14896830916404724
1,4,0.10479443520307541
1,5,0.07361440360546112
1,6,0.04941071569919586
1,7,0.04546289145946503
2,0,0.1945374608039856
2,1,0.12587302923202515
2,2,0.19078108668327332
2,3,0.09491089731454849
2,4,0.041147779673337936
2,5,0.03058604709804058
2,6,0.038298677653074265
2,7,0.07331041246652603
3,0,0.12048868834972382
3,1,0.11633294820785522
3,2,0.16915510594844818
3,3,0.1588446944952011
3,4,0.06768949329853058
3,5,0.034039855003356934
3,6,0.04272843524813652
3,7,0.07635987550020218
4,0,0.1611078381538391
4,1,0.15879876911640167
4,2,0.1945459395647049
4,3,0.182647705078125
4,4,0.08495161682367325
4,5,0.0379374660551548
4,6,0.039329398423433304
4,7,0.07251737266778946
5,0,0.11181971430778503
5,1,0.14822423458099365
5,2,0.23217488825321198
5,3,0.14963914453983307
5,4,0.058965638279914856
5,5,0.04167880862951279
5,6,0.04754563421010971
5,7,0.10988110303878784
6,0,0.19656161963939667
6,1,0.12799468636512756
6,2,0.16725018620491028
6,3,0.11886397004127502
6,4,0.053320128470659256
6,5,0.03127388656139374
6,6,0.028300395235419273
6,7,0.06974084675312042
7,0,0.14925344288349152
7,1,0.13489028811454773
7,2,0.18396146595478058
7,3,0.09624910354614258
7,4,0.05017726123332977
7,5,0.03888886794447899
7,6,0.03872980549931526
7,7,0.08517447113990784
