Checkpoint,Sparsity,Acc_mean,Acc_std,F1_mean,F1_std
pretrain_link2,0.0,0.6489637267265039,0.0217317830411872,0.42933181730795794,0.04108285979850852
pretrain_link2,10.0,0.6515436540316,0.017687765412025026,0.44298839600479,0.029924562968789765
pretrain_link2,20.0,0.651172761664565,0.01801773528074595,0.4379634753177262,0.03552226106077662
pretrain_link2,30.0,0.6561041465766635,0.013865492862114168,0.45242614905767187,0.025210649491703215
pretrain_link2,40.0,0.6566960907944515,0.015483601672738649,0.45092666049626234,0.02658793602129278
pretrain_link2,50.0,0.658741933091017,0.01676827211359299,0.46464018879714575,0.030472199305083766
pretrain_link2,60.0,0.6494770417624806,0.01473991948527485,0.4758529090482024,0.021830711123027313
pretrain_link2,70.0,0.6503701505823011,0.01523930343954342,0.4817043942276074,0.029183298641107618
pretrain_link2,80.0,0.6595697648542392,0.012983196755255805,0.4956674021865021,0.02156684648137482
pretrain_link2,90.0,0.663943327646317,0.012252338787502277,0.5048593643784334,0.013507240159450743
