Dataset,Acc_mean,Acc_std,F1_mean,F1_std,tstNum_mean,tstNum_std,Checkpoint,Sparsity,Repeat
arxiv,0.5290208423348353,0.0,0.30515764554301195,0.0,48603.0,0.0,pretrain_link1,0.0,1
cora,0.5641476274165202,0.0,0.5026491717235261,0.0,3414.0,0.0,pretrain_link1,0.0,1
home,0.6511746680286006,0.0,0.4484305917765625,0.0,1958.0,0.0,pretrain_link1,0.0,1
pubmed,0.6374239350912779,0.0,0.6179331641401551,0.0,3944.0,0.0,pretrain_link1,0.0,1
tech,0.8372338182584862,0.0,0.7389713734539248,0.0,9486.0,0.0,pretrain_link1,0.0,1
OVERALL,0.5840664639121727,0.0,0.3986745681365231,0.0,,,pretrain_link1,0.0,1
arxiv,0.4936115054626258,0.0,0.297199024829289,0.0,48603.0,0.0,pretrain_link1,0.0,2
cora,0.6171646162858817,0.0,0.5624113172853807,0.0,3414.0,0.0,pretrain_link1,0.0,2
home,0.6981613891726252,0.0,0.4791147100277202,0.0,1958.0,0.0,pretrain_link1,0.0,2
pubmed,0.606237322515213,0.0,0.57717931061431,0.0,3944.0,0.0,pretrain_link1,0.0,2
tech,0.7877925363693865,0.0,0.6112579388264143,0.0,9486.0,0.0,pretrain_link1,0.0,2
OVERALL,0.5538016467621096,0.0,0.37649626959416516,0.0,,,pretrain_link1,0.0,2
arxiv,0.486286854720902,0.0,0.3038989192424538,0.0,48603.0,0.0,pretrain_link1,0.0,3
cora,0.6101347393087287,0.0,0.5590114085053681,0.0,3414.0,0.0,pretrain_link1,0.0,3
home,0.7267620020429009,0.0,0.5802673631706697,0.0,1958.0,0.0,pretrain_link1,0.0,3
pubmed,0.7337728194726166,0.0,0.7254136971446735,0.0,3944.0,0.0,pretrain_link1,0.0,3
tech,0.8980602993885727,0.0,0.8171629381515811,0.0,9486.0,0.0,pretrain_link1,0.0,3
OVERALL,0.5719753727468289,0.0,0.4217441861955489,0.0,,,pretrain_link1,0.0,3
arxiv,0.4813077382054606,0.0,0.28374229839676895,0.0,48603.0,0.0,pretrain_link1,0.0,4
cora,0.6180433509080258,0.0,0.5611626341521175,0.0,3414.0,0.0,pretrain_link1,0.0,4
home,0.627170582226762,0.0,0.37881379258003106,0.0,1958.0,0.0,pretrain_link1,0.0,4
pubmed,0.7796653144016227,0.0,0.7708100109520357,0.0,3944.0,0.0,pretrain_link1,0.0,4
tech,0.722011385199241,0.0,0.5802845851785364,0.0,9486.0,0.0,pretrain_link1,0.0,4
OVERALL,0.5438023885468437,0.0,0.3707871497076421,0.0,,,pretrain_link1,0.0,4
arxiv,0.5294529144291504,0.0,0.3041463182274893,0.0,48603.0,0.0,pretrain_link1,0.0,5
cora,0.5413005272407733,0.0,0.49879756172800266,0.0,3414.0,0.0,pretrain_link1,0.0,5
home,0.710929519918284,0.0,0.5091789283685084,0.0,1958.0,0.0,pretrain_link1,0.0,5
pubmed,0.5676977687626775,0.0,0.54470055690001,0.0,3944.0,0.0,pretrain_link1,0.0,5
tech,0.9279991566519081,0.0,0.8803822515640031,0.0,9486.0,0.0,pretrain_link1,0.0,5
OVERALL,0.5936503226763593,0.0,0.415130862058384,0.0,,,pretrain_link1,0.0,5
arxiv,0.49593646482727405,0.0,0.2885015419595831,0.0,48603.0,0.0,pretrain_link1,0.0,6
cora,0.6159929701230229,0.0,0.5588915563427216,0.0,3414.0,0.0,pretrain_link1,0.0,6
home,0.643003064351379,0.0,0.48900449531817236,0.0,1958.0,0.0,pretrain_link1,0.0,6
pubmed,0.7459432048681541,0.0,0.7129795835939436,0.0,3944.0,0.0,pretrain_link1,0.0,6
tech,0.5994096563356526,0.0,0.3303141614871822,0.0,9486.0,0.0,pretrain_link1,0.0,6
OVERALL,0.5354795638305764,0.0,0.33874220951873857,0.0,,,pretrain_link1,0.0,6
arxiv,0.46200851799271647,0.0,0.3028948656379812,0.0,48603.0,0.0,pretrain_link1,0.0,7
