Dataset,Acc_mean,Acc_std,F1_mean,F1_std,tstNum_mean,tstNum_std,Checkpoint,Sparsity,Repeat
tech,0.8439806029938858,0.0,0.803765969159603,0.0,9486.0,0.0,pretrain_link2,0.0,9
OVERALL,0.6661671982790595,0.0,0.4621639751184225,0.0,,,pretrain_link2,0.0,9
arxiv,0.6318540007818447,0.0,0.3735410090623448,0.0,48603.0,0.0,pretrain_link2,0.0,10
cora,0.624780316344464,0.0,0.5626906733092437,0.0,3414.0,0.0,pretrain_link2,0.0,10
home,0.6639427987742594,0.0,0.42604170641254574,0.0,1958.0,0.0,pretrain_link2,0.0,10
pubmed,0.7003042596348884,0.0,0.6914326706292274,0.0,3944.0,0.0,pretrain_link2,0.0,10
tech,0.7366645582964368,0.0,0.5818617578108124,0.0,9486.0,0.0,pretrain_link2,0.0,10
OVERALL,0.6511831466508419,0.0,0.4325640586135406,0.0,,,pretrain_link2,0.0,10
arxiv,0.6114025883175935,0.0,0.36271622559660177,0.0,48603.0,0.0,pretrain_link2,10.0,1
cora,0.6224370240187463,0.0,0.5580972602172264,0.0,3414.0,0.0,pretrain_link2,10.0,1
home,0.6659856996935649,0.0,0.4234095175336951,0.0,1958.0,0.0,pretrain_link2,10.0,1
pubmed,0.7091784989858012,0.0,0.6965265499144003,0.0,3944.0,0.0,pretrain_link2,10.0,1
tech,0.7058823529411765,0.0,0.5075807327398129,0.0,9486.0,0.0,pretrain_link2,10.0,1
OVERALL,0.6325643498256805,0.0,0.41429401584476644,0.0,,,pretrain_link2,10.0,1
arxiv,0.6215048453799148,0.0,0.3741756870165977,0.0,48603.0,0.0,pretrain_link2,10.0,2
cora,0.6280023432923257,0.0,0.5628432279808423,0.0,3414.0,0.0,pretrain_link2,10.0,2
home,0.651685393258427,0.0,0.43246330385007636,0.0,1958.0,0.0,pretrain_link2,10.0,2
pubmed,0.7109533468559838,0.0,0.7111757757842959,0.0,3944.0,0.0,pretrain_link2,10.0,2
tech,0.6910183428209994,0.0,0.5352270051188727,0.0,9486.0,0.0,pretrain_link2,10.0,2
OVERALL,0.637727171574809,0.0,0.42780819635907774,0.0,,,pretrain_link2,10.0,2
arxiv,0.642326605353579,0.0,0.39403733367848864,0.0,48603.0,0.0,pretrain_link2,10.0,3
cora,0.6271236086701816,0.0,0.5640832898334475,0.0,3414.0,0.0,pretrain_link2,10.0,3
home,0.6670071501532175,0.0,0.3670165582877351,0.0,1958.0,0.0,pretrain_link2,10.0,3
pubmed,0.7647058823529411,0.0,0.7428480277029172,0.0,3944.0,0.0,pretrain_link2,10.0,3
tech,0.8504111321948135,0.0,0.7973702454411056,0.0,9486.0,0.0,pretrain_link2,10.0,3
OVERALL,0.6787181959795268,0.0,0.47903630399686953,0.0,,,pretrain_link2,10.0,3
arxiv,0.6154146863362344,0.0,0.3656952386441839,0.0,48603.0,0.0,pretrain_link2,10.0,4
cora,0.622729935559461,0.0,0.5646500551461628,0.0,3414.0,0.0,pretrain_link2,10.0,4
home,0.6705822267620021,0.0,0.44712863101094547,0.0,1958.0,0.0,pretrain_link2,10.0,4
pubmed,0.7150101419878296,0.0,0.7131481997058797,0.0,3944.0,0.0,pretrain_link2,10.0,4
tech,0.8432426734134514,0.0,0.7922136593202072,0.0,9486.0,0.0,pretrain_link2,10.0,4
OVERALL,0.6552777983829092,0.0,0.4584923092287394,0.0,,,pretrain_link2,10.0,4
arxiv,0.6420591321523362,0.0,0.39187718075229144,0.0,48603.0,0.0,pretrain_link2,10.0,5
cora,0.6086701816051553,0.0,0.5483702156726751,0.0,3414.0,0.0,pretrain_link2,10.0,5
home,0.6685393258426966,0.0,0.41778046437282673,0.0,1958.0,0.0,pretrain_link2,10.0,5
pubmed,0.6934584178498986,0.0,0.6895409062977934,0.0,3944.0,0.0,pretrain_link2,10.0,5
tech,0.8403963736032047,0.0,0.7996146490121149,0.0,9486.0,0.0,pretrain_link2,10.0,5
OVERALL,0.6720569690675766,0.0,0.47535421076507006,0.0,,,pretrain_link2,10.0,5
arxiv,0.6419768327058001,0.0,0.38846418941042327,0.0,48603.0,0.0,pretrain_link2,10.0,6
cora,0.6183362624487405,0.0,0.5509612341311173,0.0,3414.0,0.0,pretrain_link2,10.0,6
home,0.6767109295199183,0.0,0.4475969762495569,0.0,1958.0,0.0,pretrain_link2,10.0,6
pubmed,0.6939655172413793,0.0,0.6887129002092793,0.0,3944.0,0.0,pretrain_link2,10.0,6
tech,0.6784735399536158,0.0,0.4546352660388859,0.0,9486.0,0.0,pretrain_link2,10.0,6
OVERALL,0.6499666196869669,0.0,0.42529271334181945,0.0,,,pretrain_link2,10.0,6
arxiv,0.6309692817315804,0.0,0.38194753275067894,0.0,48603.0,0.0,pretrain_link2,10.0,7
cora,0.6230228471001757,0.0,0.5557221300983322,0.0,3414.0,0.0,pretrain_link2,10.0,7
home,0.5832482124616956,0.0,0.34007838290396003,0.0,1958.0,0.0,pretrain_link2,10.0,7
pubmed,0.7294624746450304,0.0,0.7124174681422645,0.0,3944.0,0.0,pretrain_link2,10.0,7
tech,0.8343875184482396,0.0,0.7960504221867085,0.0,9486.0,0.0,pretrain_link2,10.0,7
OVERALL,0.6635709517098138,0.0,0.46714655529084076,0.0,,,pretrain_link2,10.0,7
arxiv,0.6347756311338806,0.0,0.37700289942227244,0.0,48603.0,0.0,pretrain_link2,10.0,8
cora,0.6259519625073228,0.0,0.5582486859453852,0.0,3414.0,0.0,pretrain_link2,10.0,8
home,0.6302349336057201,0.0,0.3770129038941794,0.0,1958.0,0.0,pretrain_link2,10.0,8
pubmed,0.7223630831643002,0.0,0.7171252767991517,0.0,3944.0,0.0,pretrain_link2,10.0,8
tech,0.6130086443179422,0.0,0.4626417305930388,0.0,9486.0,0.0,pretrain_link2,10.0,8
OVERALL,0.63625843780135,0.0,0.4181364253151024,0.0,,,pretrain_link2,10.0,8
arxiv,0.6243030265621464,0.0,0.37580660491922924,0.0,48603.0,0.0,pretrain_link2,10.0,9
cora,0.6221441124780316,0.0,0.5605438451761144,0.0,3414.0,0.0,pretrain_link2,10.0,9
home,0.6475995914198162,0.0,0.37213444263239176,0.0,1958.0,0.0,pretrain_link2,10.0,9
pubmed,0.7079107505070994,0.0,0.7038839198027015,0.0,3944.0,0.0,pretrain_link2,10.0,9
tech,0.6054185114906178,0.0,0.3145225392471673,0.0,9486.0,0.0,pretrain_link2,10.0,9
OVERALL,0.6271048141829241,0.0,0.395628563637642,0.0,,,pretrain_link2,10.0,9
arxiv,0.6226364627697879,0.0,0.3772087821873165,0.0,48603.0,0.0,pretrain_link2,10.0,10
cora,0.6291739894551845,0.0,0.5641328561518476,0.0,3414.0,0.0,pretrain_link2,10.0,10
home,0.7650663942798774,0.0,0.5644700197330578,0.0,1958.0,0.0,pretrain_link2,10.0,10
pubmed,0.6792596348884381,0.0,0.6711375319104942,0.0,3944.0,0.0,pretrain_link2,10.0,10
tech,0.8484081804764917,0.0,0.7991500362373833,0.0,9486.0,0.0,pretrain_link2,10.0,10
OVERALL,0.6621912321044433,0.0,0.4686946662679725,0.0,,,pretrain_link2,10.0,10
arxiv,0.6246939489331934,0.0,0.368416782766693,0.0,48603.0,0.0,pretrain_link2,20.0,1
cora,0.6218512009373169,0.0,0.5554870750367293,0.0,3414.0,0.0,pretrain_link2,20.0,1
home,0.6634320735444331,0.0,0.36304809131452914,0.0,1958.0,0.0,pretrain_link2,20.0,1
pubmed,0.683316430020284,0.0,0.6726073389762107,0.0,3944.0,0.0,pretrain_link2,20.0,1
tech,0.8420830697870546,0.0,0.7953614045869376,0.0,9486.0,0.0,pretrain_link2,20.0,1
OVERALL,0.6596988353979675,0.0,0.4556190721550728,0.0,,,pretrain_link2,20.0,1
arxiv,0.6192827603234369,0.0,0.36260019715031916,0.0,48603.0,0.0,pretrain_link2,20.0,2
