Configuração,Camadas Removidas,Camadas Restantes,Redução Parâmetros (%),Dataset,Acc_mean,Acc_std,F1_mean,F1_std
Modelo Inteiro (Baseline),Nenhuma,4,0.0,pubmed,0.0798,0.04880327857839061,0.05550828670916058,0.020988469265825725
Poda Tier 1,[3],3,25.0,pubmed,0.054700000000000006,0.01646845469374707,0.0437564695566855,0.011018439598814909
Poda Tier 2,"[3, 2]",2,50.0,pubmed,0.05910000000000001,0.05284212334870732,0.042486676015232275,0.023215065891010443
Modelo Inteiro (Baseline),Nenhuma,4,0.0,citeseer,0.08149999999999999,0.007158910531638177,0.07592672216378293,0.006828175095768997
Poda Tier 1,[3],3,25.0,citeseer,0.07869999999999999,0.005848931526355903,0.0728109048120428,0.005389799710006819
Poda Tier 2,"[3, 2]",2,50.0,citeseer,0.07869999999999999,0.006618912297349166,0.07328164312470309,0.0056510082580241905
Modelo Inteiro (Baseline),Nenhuma,4,0.0,cora,0.7544,0.007485986908885168,0.7477066791922867,0.0064648363905000185
Poda Tier 1,[3],3,25.0,cora,0.7588,0.005895761189193475,0.7508145862600824,0.005924155557089984
Poda Tier 2,"[3, 2]",2,50.0,cora,0.7606999999999999,0.009654532614269845,0.7530590016095056,0.007950181665435485
