Configuração,Camadas Removidas,Camadas Restantes,Redução Parâmetros (%),Dataset,Acc_mean,Acc_std,F1_mean,F1_std
Modelo Inteiro (Baseline),Nenhuma,4,0.0,pubmed,0.0373,0.00831925477431723,0.03288151085432015,0.005749522956836981
Poda Tier 1,[3],3,25.0,pubmed,0.045,0.014422205101855958,0.03689861544314049,0.00796770049721982
Poda Tier 2,"[3, 2]",2,50.0,pubmed,0.0407,0.010188719252192594,0.03573393053594472,0.006678317210270795
Modelo Inteiro (Baseline),Nenhuma,4,0.0,citeseer,0.08069999999999998,0.005831809324729334,0.0755009735427719,0.0058488492835258084
Poda Tier 1,[3],3,25.0,citeseer,0.087,0.0064498061986388395,0.08070310464602234,0.006195628438037112
Poda Tier 2,"[3, 2]",2,50.0,citeseer,0.08409999999999998,0.006057227088363124,0.07919656526355273,0.004702573337484303
Modelo Inteiro (Baseline),Nenhuma,4,0.0,cora,0.7432000000000001,0.0040199502484483595,0.7395500868099633,0.00395735976909463
Poda Tier 1,[3],3,25.0,cora,0.7487,0.004450842616853581,0.7468357022656509,0.004121751630505111
Poda Tier 2,"[3, 2]",2,50.0,cora,0.7464000000000001,0.004454211490264022,0.7444035459385172,0.004882503825665222
