Configuração,Camadas Removidas,Camadas Restantes,Redução Parâmetros (%),Dataset,Acurácia,F1-Score
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,arxiv,0.6310310063164826,0.376675027883814
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,cora,0.6221441124780316,0.5569392683611281
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,home,0.6634320735444331,0.4148933261820066
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,pubmed,0.646551724137931,0.6377812554001853
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,tech,0.8198397638625342,0.7771463902156005
Modelo Inteiro (Baseline),Nenhuma (8 camadas),8,0.0%,OVERALL,0.6590015577479416,0.4585521564271165
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,arxiv,0.6575931526860482,0.4666637696099395
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,cora,0.6230228471001757,0.5566025241795488
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,home,0.601123595505618,0.4801550235291064
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,pubmed,0.7439148073022313,0.7372147091809076
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,tech,0.9039637360320473,0.8361934773415233
"Poda Tier 1 (Sem [5, 6])","[5, 6]",6,25.0%,OVERALL,0.6939247830279652,0.5394458851278399
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,arxiv,0.5600683085406251,0.33973461666705673
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,cora,0.5152314001171646,0.49915740668072855
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,home,0.693564862104188,0.5586846420538437
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,pubmed,0.6896551724137931,0.6883792254972617
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,tech,0.8281678262702931,0.7438564454473019
"Poda Tier 2 (Sem [4, 5, 6, 7])","[4, 5, 6, 7]",4,50.0%,OVERALL,0.606987612194941,0.43144187220966834
