Configuração,Camadas Removidas,Camadas Restantes,Redução Parâmetros (%),Dataset,Acc_mean,Acc_std,F1_mean,F1_std
Modelo Inteiro (Baseline),Nenhuma,4,0.0,pubmed,0.09540000000000001,0.02233920320870912,0.06050227258841247,0.010411459036637583
Poda Tier 1,[1],3,25.0,pubmed,0.0794,0.022127810555949725,0.04869562610702283,0.009689458641234586
Poda Tier 2,"[1, 2]",2,50.0,pubmed,0.1183,0.06063835419930194,0.06268456254601526,0.019115416264594474
Modelo Inteiro (Baseline),Nenhuma,4,0.0,citeseer,0.08719999999999999,0.006431174076325411,0.08318580326819366,0.006331896303445834
Poda Tier 1,[1],3,25.0,citeseer,0.08879999999999999,0.0041904653679513916,0.08323496024470466,0.004731978142313706
Poda Tier 2,"[1, 2]",2,50.0,citeseer,0.09059999999999999,0.00818779579618349,0.0835689585483105,0.007626408528760727
Modelo Inteiro (Baseline),Nenhuma,4,0.0,cora,0.4231999999999999,0.014958609561052123,0.41815012236389465,0.01288150197187955
Poda Tier 1,[1],3,25.0,cora,0.4913,0.015925137362044966,0.4756688316482979,0.013619091339771709
Poda Tier 2,"[1, 2]",2,50.0,cora,0.5223000000000001,0.026567084898422712,0.5109411276671375,0.02364507047822348
