Expert,Layer,Block Influence (Cosseno)
0,0,0.07177427411079407
0,1,0.05654952675104141
0,2,0.06908386200666428
0,3,0.08002804219722748
0,4,0.016998540610074997
0,5,0.006324190646409988
0,6,0.00476735457777977
0,7,0.028024235740303993
1,0,0.0775524228811264
1,1,0.16555114090442657
1,2,0.16572917997837067
1,3,0.10816897451877594
1,4,0.05974588915705681
1,5,0.03021392598748207
1,6,0.013242258690297604
1,7,0.01017475500702858
2,0,0.1705162525177002
2,1,0.07106808573007584
2,2,0.1778063178062439
2,3,0.048756714910268784
2,4,0.00871988758444786
2,5,0.004642602056264877
2,6,0.007161085959523916
2,7,0.026502499356865883
3,0,0.07211095839738846
3,1,0.06836884468793869
3,2,0.14065714180469513
3,3,0.1197192370891571
3,4,0.021741556003689766
3,5,0.005579213611781597
3,6,0.00896523892879486
3,7,0.028654953464865685
4,0,0.12107348442077637
4,1,0.11585013568401337
4,2,0.17561323940753937
4,3,0.15872600674629211
4,4,0.0367177315056324
4,5,0.007341031916439533
4,6,0.007613371592015028
4,7,0.025862542912364006
5,0,0.06534765660762787
5,1,0.10700596123933792
5,2,0.2512133717536926
5,3,0.11284303665161133
5,4,0.01758810505270958
5,5,0.008860128000378609
5,6,0.011205140501260757
5,7,0.05896689370274544
6,0,0.16898180544376373
6,1,0.07760289311408997
6,2,0.13863323628902435
6,3,0.073080874979496
6,4,0.01496095396578312
6,5,0.005070578772574663
6,6,0.004037178587168455
6,7,0.02394205518066883
7,0,0.09835411608219147
7,1,0.08053811639547348
7,2,0.16652940213680267
7,3,0.051648639142513275
7,4,0.013576125726103783
7,5,0.008094556629657745
7,6,0.007495766971260309
7,7,0.03573398292064667
