Expert,Layer,Block Influence (Cosseno)
0,0,0.05536976084113121
0,1,0.049455851316452026
0,2,0.10592610388994217
0,3,0.12889046967029572
0,4,0.036881450563669205
0,5,0.011228836141526699
0,6,0.004779897630214691
0,7,0.047334879636764526
1,0,0.08982241153717041
1,1,0.12273245304822922
1,2,0.1493903249502182
1,3,0.07973766326904297
1,4,0.013938003219664097
1,5,0.004467189311981201
1,6,0.004472007043659687
1,7,0.017119156196713448
2,0,0.05329429730772972
2,1,0.039789728820323944
2,2,0.0584297850728035
2,3,0.039863742887973785
2,4,0.04011763632297516
2,5,0.01745305210351944
2,6,0.008360576815903187
2,7,0.018775857985019684
3,0,0.08234091103076935
3,1,0.06407073140144348
3,2,0.252191424369812
3,3,0.09158974140882492
3,4,0.01038540992885828
3,5,0.004885691683739424
3,6,0.006582806818187237
3,7,0.013941762037575245
4,0,0.047160111367702484
4,1,0.06736381351947784
4,2,0.16327133774757385
4,3,0.06970339268445969
4,4,0.008252762258052826
4,5,0.0039111552760005
4,6,0.004648265428841114
4,7,0.017229026183485985
5,0,0.07987254858016968
5,1,0.08354277163743973
5,2,0.09308762848377228
5,3,0.0372273325920105
5,4,0.010554270818829536
5,5,0.007031850982457399
5,6,0.008743044920265675
5,7,0.009707432240247726
6,0,0.08005788922309875
6,1,0.09357347339391708
6,2,0.22588637471199036
6,3,0.07546386122703552
6,4,0.01289291214197874
6,5,0.006033491808921099
6,6,0.0032597517129033804
6,7,0.009204012341797352
7,0,0.11539386212825775
7,1,0.08954509347677231
7,2,0.14200042188167572
7,3,0.2161255031824112
7,4,0.038697369396686554
7,5,0.00819412525743246
7,6,0.0043508498929440975
7,7,0.02365202084183693
