Camada,Modelo 1 (Link1) [Cosseno],Modelo 2 (Link2) [Cosseno],Diferenca Absoluta [Cosseno]
0,0.07818039041012526,0.10571387130767107,0.027533480897545815
1,0.07713684346526861,0.09281683806329966,0.015679994598031044
2,0.1530519463121891,0.16065821889787912,0.0076062725856900215
3,0.09549339348450303,0.09412144077941775,0.0013719527050852776
4,0.02218007482588291,0.02375609870068729,0.0015760238748043776
5,0.00793490931391716,0.009515778452623636,0.0015808691387064755
6,0.005545397259993479,0.008060924476012588,0.002515527216019109
7,0.019596382859162986,0.029732739785686135,0.010136356926523149
