Layer,BI Medio (Cosseno),BI Std (Cosseno),BI Minimo (Cosseno),BI Maximo (Cosseno)
6,0.0056496500328648835,0.0020118781807311205,0.0032597517129033804,0.008743044920265675
5,0.007900674070697278,0.004526858295665329,0.0039111552760005,0.01745305210351944
7,0.019620518432930112,0.01216581556954773,0.009204012341797352,0.047334879636764526
4,0.0214649768313393,0.014288073293758662,0.008252762258052826,0.04011763632297516
0,0.07541397400200367,0.022629794365893973,0.047160111367702484,0.11539386212825775
1,0.07625923957675695,0.026633065349830266,0.039789728820323944,0.12273245304822922
3,0.09232521336525679,0.057825539811047086,0.0372273325920105,0.2161255031824112
2,0.1487729251384735,0.06546199262714558,0.0584297850728035,0.252191424369812
