Layer,BI Medio (Cosseno),BI Std (Cosseno),BI Minimo (Cosseno),BI Maximo (Cosseno)
6,0.007884133025072515,0.0028382625967158723,0.00395229971036315,0.012102482840418816
5,0.00896326155634597,0.007371670455541585,0.004627481568604708,0.02690555527806282
4,0.022713032085448503,0.015154711332291366,0.008413711562752724,0.054211944341659546
7,0.029779628617689013,0.013810477211512835,0.010182937607169151,0.05899327993392944
3,0.09150021569803357,0.040517849699027934,0.04444544389843941,0.16119001805782318
1,0.09547669207677245,0.03743579895678123,0.05193360522389412,0.17046242952346802
0,0.11067937314510345,0.04983129046733488,0.061733148992061615,0.18558663129806519
2,0.16076460666954517,0.05399898652104362,0.06295320391654968,0.2546985149383545
