Camada,Modelo 1 (Link1) [Cosseno],Modelo 2 (Link2) [Cosseno],Diferenca Absoluta [Cosseno]
0,0.07541397400200367,0.11067937314510345,0.035265399143099785
1,0.07625923957675695,0.09547669207677245,0.019217452500015497
2,0.1487729251384735,0.16076460666954517,0.011991681531071663
3,0.09232521336525679,0.09150021569803357,0.0008249976672232151
4,0.0214649768313393,0.022713032085448503,0.0012480552541092038
5,0.007900674070697278,0.00896326155634597,0.0010625874856486917
6,0.0056496500328648835,0.007884133025072515,0.0022344829922076315
7,0.019620518432930112,0.029779628617689013,0.010159110184758902
