Layer,BI Medio (Cosseno),BI Std (Cosseno),BI Minimo (Cosseno),BI Maximo (Cosseno)
6,0.005545397259993479,0.002108553890093103,0.0030414194334298372,0.008796200156211853
5,0.00793490931391716,0.004841685817326186,0.0036754771135747433,0.01789717935025692
7,0.019596382859162986,0.011970556247469566,0.009273555129766464,0.046737249940633774
4,0.02218007482588291,0.015078559452242592,0.007742599584162235,0.04400167241692543
1,0.07713684346526861,0.02434578256038987,0.04077159985899925,0.11479684710502625
0,0.07818039041012526,0.025788757792756665,0.04895951226353645,0.12951084971427917
3,0.09549339348450303,0.05620487787321902,0.04057816043496132,0.21489469707012177
2,0.1530519463121891,0.06561580818419036,0.06065870821475983,0.25239816308021545
