Layer,BI Medio (Cosseno),BI Std (Cosseno),BI Minimo (Cosseno),BI Maximo (Cosseno)
6,0.008060924476012588,0.0030686817290748137,0.004037178587168455,0.013242258690297604
5,0.009515778452623636,0.008491870118055567,0.004642602056264877,0.03021392598748207
4,0.02375609870068729,0.016725131332964688,0.00871988758444786,0.05974588915705681
7,0.029732739785686135,0.013816092882168254,0.01017475500702858,0.05896689370274544
1,0.09281683806329966,0.03543687431847008,0.05654952675104141,0.16555114090442657
3,0.09412144077941775,0.037569088738884905,0.048756714910268784,0.15872600674629211
0,0.10571387130767107,0.04341792633880843,0.06534765660762787,0.1705162525177002
2,0.16065821889787912,0.05077842183181395,0.06908386200666428,0.2512133717536926
